#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: 1992-10-01 to 2022-10-01
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 526: Hogg Pass, OR
#	SNOTEL 733: Santiam Jct., OR
# 
# Data items provided in this file:
#
# Element Name           Value Type  Function Type  Function Duration             Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Value       None           Instantaneous - Start of Day  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily; Date Range: 1992-10-01 to 2022-10-01
#
# As of: Oct 6, 2022 2:33:27 PM GMT-08:00
#
Station Name,Year,Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,,,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
Hogg Pass,1992,01,,,,,,,,,,0.0,0.5,6.3
Hogg Pass,1992,02,,,,,,,,,,0.0,0.0,7.6
Hogg Pass,1992,03,,,,,,,,,,0.0,0.0,8.0
Hogg Pass,1992,04,,,,,,,,,,0.0,0.0,8.0
Hogg Pass,1992,05,,,,,,,,,,0.0,0.0,8.1
Hogg Pass,1992,06,,,,,,,,,,0.0,0.0,8.1
Hogg Pass,1992,07,,,,,,,,,,0.0,0.0,8.1
Hogg Pass,1992,08,,,,,,,,,,0.0,0.2,8.6
Hogg Pass,1992,09,,,,,,,,,,0.0,1.8,11.5
Hogg Pass,1992,10,,,,,,,,,,0.0,1.8,13.0
Hogg Pass,1992,11,,,,,,,,,,0.0,1.8,13.7
Hogg Pass,1992,12,,,,,,,,,,0.0,1.9,14.0
Hogg Pass,1992,13,,,,,,,,,,0.0,1.8,14.2
Hogg Pass,1992,14,,,,,,,,,,0.0,1.7,14.3
Hogg Pass,1992,15,,,,,,,,,,0.0,1.7,14.9
Hogg Pass,1992,16,,,,,,,,,,0.0,1.6,15.0
Hogg Pass,1992,17,,,,,,,,,,0.0,1.7,15.9
Hogg Pass,1992,18,,,,,,,,,,0.0,1.7,16.6
Hogg Pass,1992,19,,,,,,,,,,0.0,1.8,16.6
Hogg Pass,1992,20,,,,,,,,,,0.0,2.9,17.7
Hogg Pass,1992,21,,,,,,,,,,0.0,3.2,18.7
Hogg Pass,1992,22,,,,,,,,,,0.0,4.0,19.5
Hogg Pass,1992,23,,,,,,,,,,0.0,4.6,20.0
Hogg Pass,1992,24,,,,,,,,,,0.0,4.6,20.0
Hogg Pass,1992,25,,,,,,,,,,0.0,4.6,20.0
Hogg Pass,1992,26,,,,,,,,,,0.0,4.6,20.2
Hogg Pass,1992,27,,,,,,,,,,0.0,5.0,21.2
Hogg Pass,1992,28,,,,,,,,,,0.0,5.4,22.3
Hogg Pass,1992,29,,,,,,,,,,0.0,5.4,22.7
Hogg Pass,1992,30,,,,,,,,,,0.1,5.4,22.9
Hogg Pass,1992,31,,,,,,,,,,1.0,,24.8
Hogg Pass,1993,01,25.1,36.6,41.7,45.0,47.4,13.2,0.0,0.0,0.0,0.0,0.0,4.3
Hogg Pass,1993,02,25.2,36.6,42.2,45.6,46.2,11.9,0.0,0.0,0.0,0.0,0.0,4.4
Hogg Pass,1993,03,25.4,36.6,42.5,46.2,46.0,9.9,0.0,0.0,0.0,0.0,0.0,4.4
Hogg Pass,1993,04,26.6,36.5,43.1,46.2,45.6,7.7,0.0,0.0,0.0,0.0,0.0,4.6
Hogg Pass,1993,05,27.4,36.5,44.3,46.2,44.6,5.6,0.0,0.0,0.0,0.0,0.0,4.8
Hogg Pass,1993,06,27.6,36.8,44.2,46.2,44.4,2.9,0.0,0.0,0.0,0.0,0.0,4.8
Hogg Pass,1993,07,27.7,36.8,44.0,46.1,44.0,1.4,0.0,0.0,0.0,0.0,0.0,5.1
Hogg Pass,1993,08,28.3,36.9,43.9,46.1,43.9,0.8,0.0,0.0,0.0,0.0,0.0,6.3
Hogg Pass,1993,09,28.3,37.0,43.9,47.1,43.7,0.0,0.0,0.0,0.0,0.0,0.0,7.7
Hogg Pass,1993,10,28.4,37.3,44.0,47.1,43.5,0.0,0.0,0.0,0.0,0.0,0.0,8.2
Hogg Pass,1993,11,28.5,37.4,44.0,47.7,43.4,0.0,0.0,0.0,0.0,0.0,0.0,8.3
Hogg Pass,1993,12,28.8,37.8,44.0,47.5,42.4,0.0,0.0,0.0,0.0,0.0,0.0,8.5
Hogg Pass,1993,13,28.8,37.9,44.0,47.0,40.4,0.0,0.0,0.0,0.0,0.0,0.0,8.7
Hogg Pass,1993,14,29.2,37.9,44.1,47.0,39.5,0.0,0.0,0.0,0.0,0.0,0.0,8.6
Hogg Pass,1993,15,29.6,37.9,46.8,47.3,37.7,0.0,0.0,0.0,0.0,0.0,0.3,8.6
Hogg Pass,1993,16,29.7,37.9,46.9,47.7,36.1,0.0,0.0,0.0,0.0,0.0,0.4,8.6
Hogg Pass,1993,17,30.0,37.9,47.8,47.7,34.3,0.0,0.0,0.0,0.0,0.0,0.7,8.5
Hogg Pass,1993,18,30.1,37.9,47.9,47.8,32.7,0.0,0.0,0.0,0.0,0.0,0.8,8.5
Hogg Pass,1993,19,30.1,38.8,46.5,47.8,31.0,0.0,0.0,0.0,0.0,0.0,0.8,8.5
Hogg Pass,1993,20,31.8,39.6,46.1,47.4,29.4,0.0,0.0,0.0,0.0,0.0,0.8,8.5
Hogg Pass,1993,21,33.8,40.3,45.9,47.6,28.2,0.0,0.0,0.0,0.0,0.0,1.1,8.5
Hogg Pass,1993,22,35.2,41.5,45.7,47.6,26.5,0.0,0.0,0.0,0.0,0.0,1.7,8.5
Hogg Pass,1993,23,35.2,41.7,47.2,47.7,25.7,0.0,0.0,0.0,0.0,0.0,2.8,8.5
Hogg Pass,1993,24,35.8,41.7,45.7,47.7,24.0,0.0,0.0,0.0,0.0,0.0,2.9,8.5
Hogg Pass,1993,25,36.1,41.7,45.4,47.9,21.7,0.0,0.0,0.0,0.0,0.0,2.9,8.5
Hogg Pass,1993,26,36.1,41.7,45.2,48.1,20.5,0.0,0.0,0.0,0.0,0.0,2.9,8.6
Hogg Pass,1993,27,36.1,41.7,45.0,48.1,19.5,0.0,0.0,0.0,0.0,0.0,3.0,8.6
Hogg Pass,1993,28,36.1,41.7,44.8,48.1,18.4,0.0,0.0,0.0,0.0,0.0,3.0,8.6
Hogg Pass,1993,29,36.7,,44.6,47.6,17.4,0.0,0.0,0.0,0.0,0.0,3.0,8.6
Hogg Pass,1993,30,36.7,,44.6,47.5,15.7,0.0,0.0,0.0,0.0,0.0,3.4,8.6
Hogg Pass,1993,31,36.7,,44.6,,14.5,,0.0,0.0,,0.0,,8.9
Hogg Pass,1994,01,9.4,13.5,22.6,27.5,20.8,0.0,0.0,0.0,0.0,0.0,0.9,16.0
Hogg Pass,1994,02,9.6,13.5,22.7,26.8,20.3,0.0,0.0,0.0,0.0,0.0,2.0,16.0
Hogg Pass,1994,03,9.9,13.5,22.9,26.5,19.6,0.0,0.0,0.0,0.0,0.0,2.2,17.2
Hogg Pass,1994,04,9.8,13.5,22.6,26.5,19.5,0.0,0.0,0.0,0.0,0.0,2.2,17.3
Hogg Pass,1994,05,10.9,13.5,22.4,26.5,18.8,0.0,0.0,0.0,0.0,0.0,4.0,17.3
Hogg Pass,1994,06,12.6,13.5,22.4,27.1,16.7,0.0,0.0,0.0,0.0,0.0,4.0,17.3
Hogg Pass,1994,07,12.7,13.5,23.1,28.1,15.5,0.0,0.0,0.0,0.0,0.0,4.5,18.3
Hogg Pass,1994,08,12.9,13.9,23.1,28.6,12.9,0.0,0.0,0.0,0.0,0.0,4.5,18.9
Hogg Pass,1994,09,13.5,13.9,23.1,29.1,10.7,0.0,0.0,0.0,0.0,0.0,5.0,19.0
Hogg Pass,1994,10,14.1,14.7,23.2,29.2,9.0,0.0,0.0,0.0,0.0,0.0,5.4,19.3
Hogg Pass,1994,11,14.5,15.0,23.3,29.2,7.4,0.0,0.0,0.0,0.0,0.0,5.5,19.4
Hogg Pass,1994,12,14.9,15.0,23.3,29.1,5.9,0.0,0.0,0.0,0.0,0.0,5.5,20.1
Hogg Pass,1994,13,14.9,15.1,23.2,29.1,4.2,0.0,0.0,0.0,0.0,0.0,6.1,20.1
Hogg Pass,1994,14,14.9,15.6,23.3,29.1,2.3,0.0,0.0,0.0,0.0,0.1,6.1,20.1
Hogg Pass,1994,15,14.9,15.8,23.3,29.1,1.4,0.0,0.0,0.0,0.0,0.9,6.2,20.5
Hogg Pass,1994,16,14.8,15.8,23.3,28.4,2.0,0.0,0.0,0.0,0.0,0.9,6.6,21.4
Hogg Pass,1994,17,14.7,15.8,23.5,28.0,1.9,0.0,0.0,0.0,0.0,0.9,8.7,22.2
Hogg Pass,1994,18,14.6,16.0,24.3,27.3,1.3,0.0,0.0,0.0,0.0,0.7,9.2,21.9
Hogg Pass,1994,19,14.6,16.4,24.8,26.6,0.6,0.0,0.0,0.0,0.0,0.5,9.2,22.5
Hogg Pass,1994,20,14.6,16.4,24.9,25.1,0.2,0.0,0.0,0.0,0.0,0.2,10.3,22.6
Hogg Pass,1994,21,14.5,17.0,25.4,24.5,0.0,0.0,0.0,0.0,0.0,0.0,10.6,22.6
Hogg Pass,1994,22,14.2,18.0,26.7,23.6,0.0,0.0,0.0,0.0,0.0,0.0,10.6,22.8
Hogg Pass,1994,23,14.2,18.7,26.7,23.1,0.0,0.0,0.0,0.0,0.0,0.0,10.7,22.8
Hogg Pass,1994,24,14.2,20.1,27.2,23.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7,22.8
Hogg Pass,1994,25,14.2,22.0,27.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0,12.2,22.9
Hogg Pass,1994,26,14.1,22.4,27.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,13.0,23.1
Hogg Pass,1994,27,13.7,22.7,27.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0,13.2,23.3
Hogg Pass,1994,28,13.7,22.8,27.0,22.5,0.0,0.0,0.0,0.0,0.0,0.1,14.5,23.5
